descripcion|precio|tipo|ubicacion|fecha_publicacion|area|num_habitaciones
Los Almendros|$ 136.000|Casa|San Camilo, Calderón, Norte De Quito|26 de marzo|160m²|3 habitaciones
Equinoccial 2|$ 103.990|Casa|Pomasqui, Norte De Quito|02 de abril||3 habitaciones
La Orquídea|$ 89.990|Casa|Llano Grande, Norte De Quito|26 de febrero|104m²|3 habitaciones
Jardines Zen|$ 165.000|Casa|Valle Los Chillos|08 de marzo|183m²|3 habitaciones
Verde Nova- Legazpi|$ 69.900|Casa|Sangolqui, Valle Los Chillos|08 de marzo||3 habitaciones
Arupo|$ 186.750|Casa|Valle Tumbaco|11 de marzo||3 habitaciones
Villa Verona|$ 326.000|Casa|Valle Tumbaco|11 de abril||
Aiken Homes|$ 205.000|Casa|Norte De Quito|03 de abril|173m²|3 habitaciones
La Bonanza|$ 77.930|Casa|Calderón, Norte De Quito|11 de abril||3 habitaciones
Paseo Marianitas|$ 74.900|Casa|Calderón, Norte De Quito|25 de marzo||3 habitaciones
Monte Luz|$ 149.900|Casa|La Armenia, Conocoto, Valle Los Chillos|20 de febrero|200m²|3 habitaciones
Tangara|$ 320.891|Casa|Valle Tumbaco|20 de febrero|232m²|3 habitaciones
La Sevillana|$ 263.174|Casa|Simón Bolívar, Uide, Centro Norte|26 de marzo|292m²|3 habitaciones
Los Algarrobos|$ 208.604|Casa|Nayon - Tanda, Valle Tumbaco|21 de marzo|254m²|3 habitaciones
Arganda Real|$ 77.850|Casa|Calderón, Norte De Quito|09 de abril||3 habitaciones
Killari|$ 133.500|Casa|La Armenia, Conocoto, Valle Los Chillos|19 de marzo||3 habitaciones
El Guabo II|$ 128.000|Casa|Llano Grande, Norte De Quito|04 de abril||4 habitaciones
La Pradera|$ 297.667|Casa|Puembo, Valle Tumbaco|20 de febrero||3 habitaciones
Kubel|$ 385.478|Casa|Cumbaya, Valle Tumbaco|20 de febrero||
Asturias|$ 98.500|Casa|Calderón, Norte De Quito|06 de marzo|96m²|3 habitaciones
Kintu|$ 79.606|Casa|Calderón, Norte De Quito|15 de marzo|94m²|3 habitaciones
Magnolia|$ 258.480|Casa|Valle Tumbaco|20 de febrero||3 habitaciones
Estupenda Casa Colegio Menor 4 Dormitorios Estudio Jardines|$ 350.000|Casa|Cumbaya, Valle Tumbaco|11 de abril|520m²|4 habitaciones
La Rivera Los Chillos Casa De Venta Precio De Oportunidad Sector Guangopolo|$ 285.000|Casa|Conocoto, Valle Los Chillos|11 de abril|1500m²|3 habitaciones
Vendo, Casa Barata San Antonio De Pichincha 105 M2|$ 62.500|Casa|La Ecuatoriana, Sur De Quito|11 de abril|105m²|3 habitaciones
Casa De Venta Sector El Arenal, Tumbaco|$ 125.000|Casa|Tumbaco, Valle Tumbaco|11 de abril|144m²|3 habitaciones
Venta Casa San Carlos|$ 88.000|Casa|San Antonio De Pichincha, Norte De Quito|11 de abril|135m²|3 habitaciones
Casa En Venta,Beaterio, Sur De Quito, 4 Dormitorios|$ 73.500|Casa|Turubamba, Sur De Quito|11 de abril|136m²|4 habitaciones
En Venta Casa Con Hermoso Acabados|$ 77.000|Casa|Pomasqui, Norte De Quito|11 de abril|130m²|3 habitaciones
Hermosa Y Amplia Casa Por Estrenarinter.Carcelen|$ 130.000|Casa|Carcelen, Norte De Quito|11 de abril|163m²|4 habitaciones
Casa De Venta En Puembo, Sector Arrayane|$ 320.000|Casa|Carcelen, Norte De Quito|11 de abril|240m²|3 habitaciones
Venta De Casa De 96mts, Ubicada En Tumbaco, La Morita.|$ 118.900|Casa|Tumbaco, Valle Tumbaco|11 de abril|96m²|3 habitaciones
